Scammer Name,Platform,X Handle,Telegram Channel,Victims Count,Total Lost USD,Verification Level,Scam Type,Last Updated,Notes,Wallet Address,Evidence Links,Scan Date,Scanner,Additional Notes
,,,,,,,,,,,,,,,
=== LEGITIMATE / VERIFIED SAFE - TEST PROFILES ===,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"RealCompany Inc.",X,@realcompany,,0,$0,VERIFIED,LEGITIMATE,2026-04-04,"Official account of RealCompany. Building the future of software. Blue checkmark verified. 250K followers. 10+ years on platform. Risk Score: 0.5/10 (SAFE).",N/A,https://x.com/realcompany,2026-04-04,Profile Verifier Test,"VERIFIED - Safe to interact with. Established company account. No red flags detected."
"John Doe (Developer)",X,@johndoe_dev,,0,$0,LEGITIMATE,NORMAL USER,2026-04-04,"Software engineer. Personal account. 11K followers. 2+ years on platform. Organic growth pattern. Risk Score: 0.8/10 (SAFE).",N/A,https://x.com/johndoe_dev,2026-04-04,Profile Verifier Test,"LEGITIMATE - Normal user. No scam indicators. Consistent posting. Organic engagement."
"AgenticBro Official",X,@agenticbro11,t.me/Agenticbro1,0,$0,VERIFIED,PROJECT ACCOUNT,2026-04-04,"Official AGNTCBRO account. Blue checkmark verified. 5K+ followers. Active community engagement. Project updates only. Risk Score: 0.3/10 (SAFE).",N/A,https://x.com/agenticbro11,2026-04-04,Profile Verifier Test,"VERIFIED - Official project account. Safe to interact with. Legitimate crypto project."
"Diana Sanchez (KOL)",X,@DianaSanchez_04,t.me/diana_sanchezok,0,$0,VERIFIED,PAID PROMOTER,2026-04-04,"Legitimate crypto influencer. 717K followers. 14+ years on X. CEO @Focusw3b. AMA HOST. Does paid token promotions. Risk Score: 2.8/10 (LOW).",N/A,https://x.com/DianaSanchez_04,2026-04-04,Profile Verifier Test,"VERIFIED - Paid promoter. Legitimate account. Verify promoted projects independently."
"Mania (Degen_chad119)",X,@Degen_chad119,t.me/Degen_chad119,0,$0,LEGITIMATE,PAID PROMOTER,2026-04-04,"Verified KOL/influencer (blue checkmark). 7.8K followers. Self-admitted 'KOL For Notable projects' partnered with @MezoNetwork. Risk Score: 2.2/10 (LOW).",N/A,https://x.com/Degen_chad119,2026-04-04,Profile Verifier Test,"LEGITIMATE - Paid promoter. Blue checkmark verified. Not a scam. Verify promoted projects independently."
"Solana Foundation",X,@SolanaFdn,,0,$0,VERIFIED,PROJECT ACCOUNT,2026-04-04,"Official Solana Foundation account. Blue checkmark verified. 2M+ followers. Legitimate blockchain foundation. Risk Score: 0.1/10 (SAFE).",N/A,https://x.com/SolanaFdn,2026-04-04,Profile Verifier Test,"VERIFIED - Official foundation. Safe to interact with. No red flags detected."
"Phantom Wallet",X,@phantom,,0,$0,VERIFIED,PROJECT ACCOUNT,2026-04-04,"Official Phantom wallet account. Blue checkmark verified. 500K+ followers. Legitimate crypto wallet. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/phantom,2026-04-04,Profile Verifier Test,"VERIFIED - Official wallet. Safe to interact with. No red flags detected."
